date;FPU;NPU;UMO;level;free_volume;income;discharge;slipway_discharge ; lat ; lon
2013-04-15; 16.3   ; 15   ; 12   ; 15.1   ; 370   ; 11000   ; 10820   ; 0 ; 48.8242 ; 44.6723    
2013-04-16; 16.3   ; 15   ; 12   ; 15.02   ; 550   ; 11609   ; 10830   ; 0     ; 48.8242 ; 44.6723    
2013-04-17; 16.3   ; 15   ; 12   ; 15.02   ; 670   ; 13578   ; 12200   ; 0     ; 48.8242 ; 44.6723    
2013-04-18; 16.3   ; 15   ; 12   ; 14.93   ; 910   ; 13890   ; 13050   ; 620     ; 48.8242 ; 44.6723    
2013-04-19; 16.3   ; 15   ; 12   ; 14.81   ; 1170   ; 13707   ; 14060   ; 1320     ; 48.8242 ; 44.6723    
2013-04-20; 16.3   ; 15   ; 12   ; 14.43   ; 1710   ; 14318   ; 17050   ; 4020     ; 48.8242 ; 44.6723    
2013-04-21; 16.3   ; 15   ; 12   ; 14.51   ; 1710   ; 18300   ; 18000   ; 4680     ; 48.8242 ; 44.6723    
2013-04-22; 16.3   ; 15   ; 12   ; 14.33   ; 2750   ; 19617   ; 19990   ; 6550     ; 48.8242 ; 44.6723    
2013-04-23; 16.3   ; 15   ; 12   ; 14.13   ; 3150   ; 21561   ; 21850   ; 8400     ; 48.8242 ; 44.6723    
2013-04-24; 16.3   ; 15   ; 12   ; 14.04   ; 3330.13   ; 22736   ; 23840   ; 10540     ; 48.8242 ; 44.6723    
2013-04-25; 16.3   ; 15   ; 12   ; 13.91   ; 4330   ; 24403   ; 25800   ; 12710     ; 48.8242 ; 44.6723    
2013-04-26; 16.3   ; 15   ; 12   ; 13.72   ; 4610   ; 26613   ; 25800   ; 12880     ; 48.8242 ; 44.6723    
2013-04-27; 16.3   ; 15   ; 12   ; 13.51   ; 4690   ; 27001   ; 26000   ; 13370     ; 48.8242 ; 44.6723    
2013-04-28; 16.3   ; 15   ; 12   ; 13.21   ; 5100   ; 26000   ; 25990   ; 13370     ; 48.8242 ; 44.6723    
2013-04-29; 16.3   ; 15   ; 12   ; 13.51   ; 4990   ; 25817   ; 25920   ; 13220     ; 48.8242 ; 44.6723    
2013-04-30; 16.3   ; 15   ; 12   ; 13.47   ; 4720   ; 27000   ; 26020   ; 13360     ; 48.8242 ; 44.6723    
2013-05-01; 16.3   ; 15   ; 12   ; 13.42   ; 4910   ; 28000   ; 26000   ; 13340     ; 48.8242 ; 44.6723    
2013-05-02; 16.3   ; 15   ; 12   ; 13.59   ; 4778   ; 27546   ; 26020   ; 13300     ; 48.8242 ; 44.6723    
