Year;1;2;3;4;5;6;7;8;9;10;11;12;Total
1949;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0;0.04;-0
1950;0.04;0.04;0.08;0.09;0.17;0.15;0.11;0.07;0.05;0.04;0.03;0.03;0.905
1951;0.03;0.02;0.03;-0;-0;0.08;0.06;0.04;0.04;0.04;0.05;0.04;-0
1952;0.04;0.05;0.12;0.18;0.32;0.26;0.15;0.1;0.06;0.06;0.05;0.05;1.433
1953;0.05;0.04;0.07;0.13;0.15;0.13;0.13;0.14;0.11;0.1;0.11;0.1;1.241
1954;0.1;0.08;0.14;0.19;0.25;0.16;0.15;0.09;0.09;0.09;0.07;0.06;1.468
1955;0.05;0.04;0.06;0.11;0.15;0.13;0.1;0.07;0.05;0.06;0.05;0.05;0.924
1956;0.05;0.05;0.08;0.18;0.19;0.16;0.12;0.07;0.06;0.05;0.04;0.04;1.094
1957;0.04;0.03;0.05;0.1;0.14;0.23;0.17;0.1;0.06;0.09;0.1;0.09;1.2
1958;0.07;0.04;0.08;0.16;0.14;0.12;0.09;0.06;0.04;0.05;0.06;0.07;0.984
1959;0.05;0.05;0.15;0.27;0.25;0.19;0.14;0.1;0.07;0.07;0.07;0.08;1.499
1960;0.07;0.06;0.08;0.11;0.12;0.08;0.07;0.05;0.05;0.06;0.05;0.05;0.845
1961;0.04;0.03;0.05;0.09;0.13;0.09;0.07;0.05;0.05;0.05;0.04;0.04;0.736
1962;0.03;0.03;0.04;0.08;0.14;0.13;0.08;0.06;0.04;0.05;0.04;0.04;0.756
1963;0.04;0.03;0.06;0.11;0.18;0.17;0.12;0.08;0.07;0.06;0.04;0.04;1.022
1964;0.04;0.04;0.1;0.14;0.19;0.11;0.06;0.03;0.03;0.04;-0;-0;-0
1965;0.03;0.03;0.07;0.09;0.18;0.13;0.08;0.05;0.04;0.09;0.05;0.04;0.873
1966;0.03;0.03;0.06;0.13;0.22;0.14;0.09;0.06;-0;-0;-0;-0;-0
1967;-0;0.03;0.05;0.1;0.16;0.11;0.09;0.05;0.04;0.04;0.04;0.04;0.803
1968;0.03;0.03;0.1;0.19;0.22;0.21;0.13;0.08;0.05;0.05;0.06;0.06;1.212
1969;0.06;0.05;0.3;0.25;0.35;0.26;0.19;0.11;0.08;0.09;0.08;0.06;1.851
1970;0.05;0.05;0.07;0.09;0.12;0.1;0.07;0.05;0.05;0.04;0.04;0.05;0.761
1971;0.04;0.04;0.1;0.16;0.26;0.18;0.11;0.06;0.05;0.04;0.04;0.04;1.11
1972;0.04;0.04;0.08;0.21;0.26;0.26;0.17;0.1;0.06;0.07;0.06;0.04;1.386
1973;0.04;0.04;0.16;0.19;0.18;0.15;0.09;0;0.06;0.05;0.05;0.05;1.157
1974;0.04;0.03;0.12;0.11;0.14;0.11;0.11;0.07;0.06;0.05;0.03;0.03;0.896
1975;0.03;0.03;0.06;0.1;0.23;0.13;0.11;0.06;0.05;0.07;0.06;0.07;0.995
1976;0.06;0.04;0.07;0.21;0.26;0.21;0.16;0.07;0.05;0.06;0.05;0.06;1.313
1977;0.05;0.05;0.09;0.13;0.15;0.15;0.08;0.06;0.05;0.06;0.09;0.08;1.052
1978;0.07;0.05;0.1;0.15;0.17;0.14;0.09;0.06;0.03;0.02;0.04;0.05;0.978
1979;0.04;0.04;0.09;0.23;0.23;0.18;0.1;0.05;0.07;0.06;0.05;0.05;1.194
1980;0.04;0.03;0.08;0.16;0.14;0.14;0.08;0.05;0.04;0.05;0.06;0.04;0.921
1981;0.04;0.04;0.09;0.18;0.21;0.17;0.14;0.08;0.06;0.05;0.04;0.04;1.141
1982;0.04;0.03;0.08;0.2;0.16;0.11;0.07;0.05;0.04;0.06;0.06;0.06;0.938
1983;0.05;0.04;0.05;0.1;0.2;0.16;0.08;0.05;0.05;0.04;0.03;0.04;0.901
1984;0.04;0.04;0.09;0.13;0.18;0.19;0.09;0.06;0.04;0.04;0.04;0.05;0.99
1985;0.05;0.04;0.13;0.18;0.17;0.13;0.09;0.05;0.06;0.05;0.04;0.05;1.059
1986;0.05;0.06;0.06;0.17;0.24;0.15;0.08;0.04;0.03;0.03;0.03;0.03;0.987
1987;0.04;0.04;0.08;0.29;0.32;0.17;0.11;0.08;0.06;0.1;0.13;0.08;1.483
