Year;1;2;3;4;5;6;7;8;9;10;11;12;Total
1949;-0;-0;-0;-0;-0;-0;-0;-0;-0;0.11;0.09;0.09;-0
1950;-0;0.06;0.09;-0;-0;-0;-0;-0;-0;0.11;0.09;0.09;-0
1951;0.09;0.07;0.1;0.14;0.27;0.21;0.14;0.11;0.1;0.11;0.11;0.1;1.524
1952;0.1;0.09;0.14;0.39;0.53;0.57;0.37;0.23;0.17;0.15;0.13;0.12;2.975
1953;0.08;0.09;0.15;0.33;0.59;0.56;0.47;0.28;0.12;-0;-0;-0;-0
1954;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0
1955;0.12;0.09;0.12;0.2;0.39;0.32;0.19;0.17;0.15;0.13;0.12;0.13;2.117
1956;0.13;0.12;0.15;0.37;0.89;0.47;0.52;0.54;0.41;0.13;0.11;0.11;3.931
1957;0.09;0.07;0.09;0.21;0.55;0.9;0.66;0.49;0.28;0.22;0.21;0.16;3.933
1958;0.15;0.11;0.17;0.46;0.45;0.32;0.23;0.17;0.12;0.13;0.12;0.12;2.528
1959;0.11;0.08;0.13;0.44;0.78;0.59;0.32;0.22;0.15;0.16;0.15;0.16;3.292
1960;0.16;0.13;0.17;0.28;0.43;0.25;0.2;0.17;0.21;0.16;0.14;0.13;2.437
1961;0.13;0.11;0.13;0.21;0.44;0.22;0.19;0.16;0.14;0.12;0.1;0.1;2.032
1962;0.1;0.09;0.11;0.19;0.52;0.42;0.21;0.15;0.13;0.12;0.11;0.1;2.233
1963;0.09;0.07;0.11;0.28;0.48;0.57;0.27;0.21;0.12;0.13;0.13;0.12;2.57
1964;0.1;0.11;0.13;0.34;0.66;0.31;0.19;0.15;0.12;0.11;0.1;0.09;2.411
1965;0.09;0.07;0.15;0.33;0.82;0.46;0.26;0.16;0.12;0.14;0.14;0.12;2.849
1966;0.1;0.08;0.14;0.35;0.69;0.43;0.25;0.15;0.11;0.13;0.11;0.1;2.64
1967;0.1;0.08;0.11;0.2;0.58;0.31;0.19;0.13;0.1;0.11;0.1;0.09;2.081
1968;0.08;0.08;0.15;0.44;0.82;0.76;0.4;0.22;0.14;0.13;0.13;0.13;3.466
1969;0.12;0.1;0.34;0.62;1.32;0.83;0.59;0.3;0.21;0.22;0.2;0.16;4.972
1970;0.14;0.1;0.14;0.27;0.32;0.19;0.14;0.11;0.11;0.13;0.11;0.11;1.886
1971;0.11;0.09;0.18;0.36;0.72;0.4;0.23;0.19;0.15;0.14;0.14;0.14;2.85
1972;0.12;0.11;0.14;0.35;0.83;0.8;0.49;0.41;0.26;0.14;0.13;0.15;3.935
1973;0.13;0.12;0.19;0.5;1.23;0.62;0.26;0.19;0.13;0.14;0.12;0.11;3.739
1974;0.09;0.09;0.2;0.3;0.4;0.25;0.27;0.13;0.12;0.09;0.09;0.07;2.087
1975;0.06;0.07;0.11;0.31;0.92;0.66;0.17;0.12;0.09;0.11;0.13;0.14;2.914
1976;0.12;0.09;0.12;0.3;0.73;0.6;0.37;0.21;0.19;0.19;0.17;0.19;3.265
1977;0.15;0.13;0.18;0.22;0.52;0.45;0.28;0.23;0.16;0.19;0.18;0.12;2.797
1978;0.09;0.08;0.18;0.38;0.44;0.35;0.23;0.11;0.1;0.21;0.21;0.22;2.6
1979;0.23;0.19;0.23;0.28;0.44;0.42;0.19;0.17;0.15;0.16;0.13;0.12;2.734
1980;0.12;0.11;0.13;0.37;0.35;0.26;0.19;0.17;0.13;0.12;0.12;0.12;2.193
1981;0.14;0.09;0.11;0.31;0.34;0.24;0.18;0.14;0.13;0.15;0.11;0.09;2.041
1982;0.09;0.08;0.1;0.18;0.33;0.26;0.15;0.14;0.11;0.14;0.13;0.13;1.825
1983;0.12;0.09;0.16;0.3;0.41;0.35;0.21;0.16;0.13;0.12;0.11;0.11;2.267
1984;0.12;0.1;0.16;0.23;0.31;0.25;0.16;0.14;0.09;0.09;0.1;0.1;1.847
1985;0.1;0.09;0.15;0.27;0.43;0.37;0.23;0.21;0.16;0.15;0.14;0.15;2.441
1986;0.15;0.11;0.14;0.29;0.48;0.35;0.23;0.17;0.13;0.14;0.13;0.11;2.415
1987;0.1;0.09;0.13;0.33;0.5;0.41;0.34;0.29;0.24;0.24;0.19;0.17;3.017
1988;0.16;0.14;0.2;0.31;0.44;0.3;0.31;0.22;0.17;0.18;0.14;0.16;2.73
1989;0.12;0.08;0.1;0.18;0.39;0.25;0.15;0.12;0.09;0.09;0.08;0.09;1.741
1990;0.08;0.08;0.12;0.14;0.31;0.25;0.12;0.11;0.08;0.09;0.08;0.09;1.543
1991;0.08;0.07;0.12;0.2;0.37;0.29;0.23;0.13;0.11;0.12;0.12;0.14;1.988
1992;0.14;0.14;0.2;0.36;0.56;0.56;0.37;0.27;0.19;0.24;0.17;0.17;3.366
1993;0.16;0.16;0.22;0.27;0.36;0.26;0.2;0.16;0.14;0.15;0.14;0.15;2.37
1994;0.14;0.11;0.15;0.21;0.34;0.27;0.2;0.15;0.13;0.13;0.16;0.12;2.12
1995;0.12;0.1;0.15;0.27;0.51;0.39;0.24;0.15;0.12;0.13;0.12;0.11;2.397
1996;0.1;0.09;0.11;0.32;0.43;0.33;0.2;0.12;0.09;0.1;0.1;0.08;2.082
1997;0.07;0.06;0.09;0.16;0.31;0.24;0.19;0.14;0.12;0.12;0.13;0.12;1.749
1998;0.11;0.1;0.14;0.3;0.44;0.38;0.25;0.2;0.14;0.15;0.12;0.11;2.431
1999;0.11;0.08;0.1;0.12;0.21;0.13;0.11;0.08;0.08;0.08;0.08;0.08;1.267
2000;0.08;0.07;0.1;0.2;0.2;0.16;0.13;0.11;0.1;0.1;0.1;0.11;1.461
2001;0.1;0.08;0.12;0.1;0.16;0.11;0.08;0.07;0.07;0.08;0.08;0.1;1.152
2002;0.09;0.07;0.19;0.22;0.36;0.29;0.23;0.16;0.11;0.14;0.13;0.14;2.13
2003;0.13;0.11;0.23;0.35;0.59;0.55;0.35;0.22;0.19;0.19;0.17;0.19;3.274
2004;0.17;0.14;0.2;0.42;0.55;0.42;0.36;0.25;0.22;0.22;0.21;0.21;3.369
2005;0.2;0.18;0.41;0.5;0.56;0.54;0.49;0.42;0.27;0.21;0.19;0.17;4.113
2006;0.16;0.14;0.18;0.31;0.46;0.37;0.25;0.17;0.13;0.15;0.17;0.16;2.638
2007;0.14;0.12;0.19;0.46;0.56;0.38;0.3;0.22;0.19;0.21;0.19;0.18;3.13
2008;0.15;0.14;0.22;0.23;0.24;0.2;0.18;0.14;0.12;0.12;0.12;0.12;1.98
2009;0.1;0.1;0.15;0.18;0.38;0.37;0.3;0.22;0.18;0.17;0.14;0.15;2.434
2010;0.13;0.1;0.17;0.25;0.39;0.28;0.21;0.17;0.13;0.13;0.12;0.1;2.155
2011;0.09;0.07;0.12;0.23;0.36;0.26;0.19;0.18;0.16;0.15;0.23;0.21;2.243
2012;0.16;0.14;0.19;0.43;0.59;0.42;0.34;0.19;0.17;0.16;0.17;0.12;3.07
2013;0.11;0.09;0.17;0.21;0.29;0.25;0.17;0.15;0.1;0.12;0.11;0.1;1.865
2014;0.09;0.07;0.09;0.17;0.26;0.21;0.17;0.12;0.1;0.1;0.09;0.08;1.542
2015;0.07;0.06;0.1;0.31;0.31;0.25;0.15;0.12;0.08;;;;
