Year;1;2;3;4;5;6;7;8;9;10;11;12;Total
1946;0.82;0.79;1.1;2.12;4.21;3.4;1.66;0.72;0.55;1.05;0.92;0.57;17.873
1947;1.12;1.01;1.57;1.93;2.08;1.95;1.07;0.6;0.69;0.82;1.26;1.04;15.155
1948;0.92;0.88;0.95;2.47;3.96;3.73;1.43;0.5;0.95;1;0.92;1.02;18.761
1949;0.98;0.97;1.33;2.67;4.15;1.97;0.76;0.47;0.65;1.18;0.73;0.8;16.65
1950;1.01;1.1;1.71;2.49;3.16;2.31;0.81;0.35;0.39;0.78;0.87;0.87;15.859
1951;0.91;0.87;1.16;1.5;2;1.59;0.82;0.33;0.52;2.38;2.23;1.58;15.865
1952;1.24;1.1;1.46;4.04;5.3;3.42;2.15;0.57;0.75;0.74;0.71;0.94;22.432
1953;0.98;8.67;0.96;1.63;2.04;1.28;0.75;0.44;0.48;0.59;0.69;1.02;20.217
1954;1.03;0.93;1.55;2.83;2.59;1.74;1.13;0.76;0.83;0.89;0.85;1.11;16.246
1955;1.2;0.11;1.13;0.92;0.98;0.98;0.76;0.55;0.65;0.86;0.82;1.37;10.256
1956;1.1;1;1.27;2.44;2.84;2.34;0.69;0.5;0.93;0.98;1;1.45;16.564
1957;1.8;1.89;2.24;1.9;1.73;1.84;1.01;0.69;0.74;0.97;1.22;1.36;17.481
1958;1.4;1.08;1.08;1.06;1.13;1.33;0.66;0.45;0.76;1;1.22;1.58;12.771
1959;1.42;1.18;1.55;1.96;1.92;2.4;1.35;0.88;1.38;1.34;1.45;2.3;19.14
1960;2.12;1.88;1.87;2.32;2.87;1.64;1.12;0.69;1.2;1.44;1.28;1.48;19.91
1961;1.73;1.71;1.57;1.19;1.12;0.72;0.49;0.56;0.85;0.9;0.76;1.07;12.724
1962;0.89;0.63;0.66;0.72;0.93;0.69;0.38;0.42;0.43;0.7;1.11;1.17;8.734
1963;1.11;0.84;0.92;1.85;4.02;4.33;2.81;2.3;1.93;1.71;1.75;2.33;25.834
