Year;1;2;3;4;5;6;7;8;9;10;11;12;Total
1976;0.16;0.21;0.15;0.21;0.42;0.42;0.97;0.47;0.22;0.23;0.2;0.28;3.933
1977;0.39;0.42;0.36;0.19;0.29;0.36;0.58;0.29;0.25;0.25;0.26;0.44;4.095
1978;0.38;0.43;0.35;0.29;0.62;0.73;0.89;0.57;0.21;0.21;0.29;0.43;5.39
1979;0.51;0.34;0.24;0.19;0.16;0.22;0.36;0.4;0.31;0.3;0.38;0.39;3.813
1980;0.55;0.42;0.3;0.16;0.34;0.92;0.43;0.18;0.17;0.21;0.37;0.39;4.459
1981;0.18;0.19;0.26;0.15;0.24;0.34;0.56;0.47;0.25;0.27;0.27;0.44;3.606
1982;0.48;0.49;0.22;0.24;0.64;0.65;0.47;0.61;0.16;0.17;0.4;0.43;4.978
1983;0.33;0.17;0.16;0.14;0.17;0.28;0.4;0.54;0.72;0.42;0.32;0.37;4.013
1984;0.29;0.43;0.24;0.17;0.21;0.37;0.3;0.5;0.37;0.34;0.4;0.7;4.325
1985;0.29;0.15;0.13;0.16;0.28;0.4;0.27;0.19;0.08;0.17;0.27;0.37;2.745
1986;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0
1987;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0
1988;0.39;0.28;0.27;0.23;0.25;0.76;1.03;0.61;0.43;0.35;0.33;0.33;5.252
1989;0.32;0.4;0.37;0.34;0.37;0.36;0.17;0.16;0.16;0.2;0.57;0.64;4.073
1990;0.39;0.26;0.22;0.3;0.71;1.24;1.1;1.09;0.59;0.64;0.53;0.66;7.695
1991;0.56;0.61;0.46;0.41;0.63;0.91;0.36;0.35;0.32;0.21;0.38;0.44;5.679
1992;0.4;0.45;0.56;0.54;0.59;0.48;0.46;0.39;0.31;0.53;0.43;0.48;5.626
1993;0.45;0.44;0.42;0.51;0.62;0.74;0.78;0.63;0.45;0.43;0.55;0.53;6.539
1994;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0
1995;0.42;0.34;0.32;0.17;0.16;0.14;0.37;0.24;0.22;0.28;0.25;0.29;3.221
1996;0.36;0.33;0.28;0.12;0.08;0.15;0.17;0.12;0.13;0.35;0.28;0.31;2.68
1997;0.38;0.3;0.34;0.36;0.44;0.76;1.2;0.71;0.32;0.32;0.5;0.47;6.079
1998;0.46;0.42;0.48;0.43;0.43;0.43;0.24;-0;-0;-0;-0;-0;-0
1999;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0
2000;0.24;0.46;0.43;0.49;0.72;0.5;0.17;0.02;0.12;0.44;0.43;0.47;4.55
2001;0.44;0.37;0.43;0.28;0.47;0.71;0.74;0.34;0.31;0.2;0.26;0.36;4.917
2002;0.47;0.38;0.37;0.31;0.41;1.09;1.22;0.85;0.84;0.67;0.51;0.67;7.761
2003;0.57;0.5;0.42;0.46;0.51;0.54;0.21;0.26;0.12;0.28;0.55;0.54;4.962
2004;0.54;0.39;0.46;0.61;1;0.97;1.02;0.45;0.52;0.31;0.28;0.48;7.028
2005;0.41;0.42;0.35;0.49;0.96;1;0.79;0.3;0.35;0.39;0.51;0.45;6.411
2006;-0;-0;-0;0.33;-0;-0;-0;-0;-0;-0;0.45;0.49;-0
2007;0.5;0.59;0.55;0.38;0.51;0.43;0.47;0.56;-0;-0;-0;0.39;-0
2008;0.28;0.29;0.49;0.46;-0;-0;-0;0.23;0.19;0.18;0.21;0.25;-0
2009;0.34;0.32;0.52;0.42;0.42;0.37;0.13;0.41;0.52;0.52;0.51;0.47;4.961
2010;0.44;0.4;0.46;0.58;0.69;0.6;0.46;0.29;0.17;0.26;0.32;0.52;5.179
2011;-0;-0;-0;-0;-0;-0;0.32;0.25;0.24;0.35;0.37;0.4;-0
2012;0.4;0.41;0.42;0.32;0.32;0.33;0.34;0.21;0.19;0.21;0.23;0.37;3.755
2013;0.35;0.62;0.78;0.57;0.38;0.27;0.33;0.67;0.39;0.4;0.35;0.33;5.456
2014;0.31;0.32;0.35;0.27;0.28;0.21;0.19;0.18;0.21;0.26;0.29;0.28;3.173
2015;0.28;0.25;0.28;0.25;0.51;0.47;0.28;0.27;0.28;0.27;0.29;0.35;3.788
2016;0.42;0.5;0.59;0.49;0.48;0.61;0.51;0.37;0.31;0.39;0.36;0.36;5.403
