Year;1;2;3;4;5;6;7;8;9;10;11;12;Total
1965;0.37;0.38;0.37;0.37;0.36;0.66;0.92;0.5;0.2;0.22;0.33;0.33;4.995
1966;0.42;0.35;0.36;0.55;0.38;0.94;1.05;0.64;0.61;0.2;0.12;0.23;5.854
1967;0.36;0.36;0.42;0.4;0.42;0.94;1.6;1.92;1.04;0.61;0.38;0.5;8.894
1968;0.5;0.46;0.5;0.29;0.25;0.76;1.26;1.34;0.81;-0;-0;-0;-0
1969;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0
1970;-0;-0;-0;-0;-0;-0;0.66;0.93;0.49;0.67;0.3;0.38;-0
1971;0.41;0.36;0.5;0.28;0.32;0.72;0.57;0.19;0.34;0.24;0.19;0.4;4.51
1972;0.31;0.28;0.37;0.37;0.16;0.33;0.52;0.18;0.33;0.4;0.34;0.3;3.903
1973;0.35;0.51;0.57;0.41;0.47;0.69;0.98;0.74;0.31;0.16;0.31;0.45;5.966
1974;0.41;0.39;0.51;0.18;0.4;0.63;0.59;0.21;0.21;0.1;0.09;0.32;4.038
1975;0.35;0.31;0.36;0.12;0.06;0.17;0.67;0.23;0.12;0.18;0.1;0.19;2.863
1976;0.31;0.29;0.29;0.09;0.19;0.18;0.33;0.24;0.11;0.13;0.16;0.25;2.569
1977;0.24;0.27;0.31;0.13;0.15;0.67;0.88;0.74;0.35;0.45;0.36;0.43;4.947
1978;0.45;0.45;0.32;0.28;0.82;0.78;0.98;1.04;0.44;0.24;0.39;0.51;6.684
1979;0.55;0.46;0.36;0.09;0.07;0.12;0.52;0.53;0.25;0.17;0.34;0.46;3.93
1980;0.47;0.39;0.35;0.25;0.58;0.68;0.52;0.23;0.23;0.22;0.3;0.51;4.712
1981;0.46;0.41;0.33;0.08;0.29;0.91;0.86;0.53;0.78;0.3;0.3;0.5;5.744
1982;0.45;0.39;0.47;0.37;0.91;0.79;1.45;0.73;0.58;0.27;0.13;0.38;6.889
1983;0.36;0.31;0.14;0.1;0.15;0.27;0.38;0.47;0.31;0.22;0.17;0.38;3.275
1984;0.44;0.39;0.2;0.13;0.26;0.89;0.92;0.72;0.58;0.31;0.3;0.55;5.678
1985;0.5;0.47;0.49;0.29;0.37;0.51;0.36;0.21;0.25;0.2;0.27;0.52;4.448
1986;0.45;0.37;0.35;0.1;0.1;0.2;0.3;0.22;0.18;0.06;0.06;0.3;2.7
1987;0.43;0.4;0.26;0.11;0.14;0.85;0.89;0.35;0.2;0.2;0.28;0.51;4.621
1988;0.42;0.37;0.4;0.24;0.19;0.74;1.55;0.78;0.62;0.38;0.54;0.59;6.811
1989;0.53;0.48;0.83;0.43;0.2;0.54;0.93;0.74;0.3;0.39;0.31;0.6;6.277
1990;0.49;0.43;0.77;0.26;0.95;1.24;1.23;0.76;0.3;0.41;0.5;0.52;7.843
1991;0.49;0.43;0.61;0.24;0.41;0.67;0.94;0.56;0.23;0.15;0.34;0.49;5.551
1992;0.47;0.45;0.62;0.51;0.48;1.01;1.19;0.65;0.6;0.82;0.79;0.75;8.335
1993;0.66;0.63;0.95;1.04;0.89;1.12;1.04;0.66;0.55;0.42;0.45;0.58;8.986
1994;0.56;0.49;0.57;0.29;0.19;0.16;0.13;0.39;0.2;0.13;0.31;0.43;3.864
1995;0.37;0.4;0.4;0.37;0.38;0.39;0.91;0.7;0.48;0.79;0.84;0.59;6.605
1996;0.37;0.26;0.25;0.15;0.11;0.6;1.01;1.32;0.45;0.43;0.56;0.39;5.89
1997;0.49;0.46;0.42;0.48;0.8;1.34;1.56;1.02;0.55;0.55;0.62;0.55;8.813
1998;0.6;0.5;0.83;0.87;0.57;1.7;0.94;0.37;0.4;0.27;0.26;0.51;7.821
1999;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0
2000;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0
2001;0.39;0.33;0.3;0.12;0.34;0.91;0.77;0.48;0.15;0.2;0.27;0.46;4.717
2002;0.47;0.48;0.64;0.45;0.69;1.99;2.12;0.98;0.78;0.63;0.62;0.6;10.421
2003;0.63;0.43;0.48;0.43;0.28;0.38;0.53;0.79;0.28;0.43;0.71;0.55;5.908
2004;0.47;0.44;0.7;0.63;0.92;0.91;1.27;1.04;0.73;0.55;0.5;0.57;8.698
2005;0.59;0.45;0.54;0.75;1.89;1.72;1.65;1.02;0.65;0.84;0.71;0.58;11.365
2006;0.51;0.46;0.6;0.51;0.96;1.35;1.26;0.81;0.49;0.39;0.64;0.6;8.566
2007;0.48;0.41;0.46;0.38;0.55;0.95;0.86;0.73;0.45;0.28;0.44;0.52;6.502
2008;0.48;0.45;0.53;0.45;0.67;1.23;1.37;0.99;0.48;0.53;0.44;0.4;7.992
2009;0.42;0.43;0.51;0.29;0.37;1;1.02;0.74;0.62;0.93;0.79;0.66;7.754
2010;0.5;0.67;0.72;0.69;0.89;1.58;1.49;0.71;0.48;0.62;0.66;0.55;9.549
2011;0.51;0.45;0.57;0.53;0.8;1.61;1.85;1.01;0.55;0.66;0.61;0.59;9.706
2012;0.51;0.46;0.54;0.6;0.44;1.04;1.68;1.19;0.55;0.39;0.43;0.4;8.224
2013;0.4;0.38;0.47;0.46;0.78;0.98;1.62;1.21;0.79;0.87;0.63;0.61;9.154
2014;0.53;0.77;0.53;0.36;1.08;1.04;1.3;0.99;0.85;0.68;0.64;0.52;9.297
2015;0.52;0.46;0.5;0.41;0.58;1.33;1.29;0.82;0.46;0.34;0.47;0.55;7.712
2016;0.64;0.61;0.69;0.71;0.8;1.93;2.3;1.26;0.68;0.56;0.6;0.55;11.292
