Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Total
1938;4.71;4.4;5.79;11.85;49.28;49.77;16.2;11.78;8.09;7.5;8.63;4.18;181.8
1939;3;4.38;5.68;9.07;44.46;50.28;18.21;10.5;7.59;7.87;9.2;4.31;174.26
1940;4.02;5.99;5.36;13.48;51.16;42.77;27.05;11.38;8.16;7.53;7.52;6.24;190.33
1941;3.24;5.85;6.64;7.8;39.1;66.36;54.37;15.4;10.63;10.45;8.68;4.34;232.19
1942;7.79;7.4;8.46;10.73;45;73.09;39.64;20.46;13.22;12.8;17.13;7.2;262.54
1943;10.77;10.04;9.4;17.08;55.18;56.76;19.47;13.85;14.02;14.41;13.14;4.71;238.73
1944;6.56;7.39;10.23;12.44;44.73;64.8;30;16.77;14;12.72;10.52;3.59;233.8
1945;7.15;6.68;6.62;10.6;36.69;45.36;33.21;16.55;11.53;11.84;12.08;4.26;202.09
1946;9.43;8.95;10.98;15.58;47.94;71.28;35.62;13.18;11.25;13.18;13.5;5.87;256.55
1947;8.89;8.01;8.7;30.84;75;74.91;36.69;15.99;13.27;12.35;13.09;9.45;306.62
1948;-0;-0;-0;-0;59.46;63.76;25.77;15.48;13.35;11.68;15.16;-0;-0
1949;9.03;9.99;10.12;13.4;44.19;56.76;23.41;13.18;11.64;10.45;11.22;4.58;217.99
1950;6.54;7.57;7.95;14;48.75;37.58;16.74;19.31;18.07;21.8;17.29;7.82;222.88
1951;7.18;10.06;12.08;28.51;61.07;38.88;18.59;11.22;9.07;8.65;7.93;4.45;217.44
1952;8.81;7.62;8.22;8.42;32.14;50.28;29.73;15;11.3;16.18;20.17;9.67;217.49
1953;7.9;11.18;11.76;18.4;57.85;52.62;18.45;12.19;11.04;21.24;22.78;6.29;251.61
1954;10.26;12.19;12.64;15.03;46.07;39.4;16.77;12;10.26;12.37;17.47;10.55;214.97
1955;9.19;8.35;12.35;22.86;54.37;70.24;39.37;17.22;11.79;11.78;10.68;4.42;272.19
1956;8.22;8.12;8.44;10.24;45.26;47.95;14.46;11.97;14.07;15.56;16.9;8.97;210.25
1957;10.53;14.22;14.78;20.66;54.37;60.13;20.28;17.03;12.42;13.15;-0;-0;-0
1958;12.03;15.65;25.9;27.22;42.59;59.36;27.86;16.82;14.7;13.2;11.61;8.25;275.37
1959;9.13;15.1;20.97;23.9;39.91;34.73;14.68;12.53;10.32;10.61;11.12;9.59;212.82
1960;16.82;14.96;16.07;19.41;37.5;32.92;12.75;12.03;11.12;11.22;10.89;10.47;206.27
1961;10.02;10.35;13.5;23.48;53.3;37.58;16.77;13.39;12.18;11.92;13.06;13.98;229.16
1962;11.38;14.37;16.98;19.62;52.5;19.67;15.37;17.89;16.9;17.44;16.2;15.8;233.63
1963;16.18;17.15;21.11;21.36;51.16;42.25;17.62;15.62;14.39;14.97;13.56;14.87;260.15
1964;14.65;16.84;16.71;15.6;36.16;23.82;16.87;15.27;14.46;14.84;14.13;14.38;213.65
1965;11.84;13.38;12.03;13.87;41.52;36.55;18.99;12.4;12.18;12.21;13.56;13.47;211.92
1966;13.34;15.94;23.78;34.21;65.62;44.32;16.07;13.63;12.16;12.43;12.34;11.81;275.55
1967;12.96;13.6;15.7;15.73;39.37;13.66;11.46;12.43;11.48;11.89;10.73;11.25;180.01
1968;10.79;10.55;13.98;17.65;50.89;28.25;12.96;12.59;12.6;13.18;12.36;13.95;209.4
1969;14.57;13.43;13.31;13.58;44.19;25.25;18.03;16.04;14.05;14.41;11.9;13.9;212.21
1970;13.85;13.6;22.15;27.99;59.19;37.58;17.73;15.72;12.55;12.48;12.6;13.39;258.39
1971;12.8;12.75;17.78;15.22;45.26;31.88;14.2;15.05;13.4;13.47;13.14;17.14;221.7
1972;13.87;12.9;15.24;17.55;45.26;26.44;15.13;13.5;11.04;10.45;9.75;10.66;201.52
