Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Total
1936;0.09;0.07;0.07;0.24;1.6;0.67;0.32;0.19;0.14;0.13;0.13;0.1;3.731
1937;0.07;0.05;0.07;0.67;0.83;0.44;0.24;0.15;0.11;0.1;0.08;0.05;2.857
1938;0.06;0.04;0.06;0.91;1.61;0.69;0.33;0.2;0.14;0.12;0.12;0.08;4.32
1939;0.06;0.06;0.07;0.94;1.3;0.51;0.27;0.18;0.14;0.14;0.12;0.08;3.879
1940;0.07;0.05;0.06;1.08;1.35;0.57;0.34;0.2;0.15;0.14;0.14;0.12;4.269
1941;0.09;0.08;0.08;1.12;7.85;5.7;1.9;0.98;0.75;0.63;0.53;0.36;19.962
1943;0.15;0.14;0.2;0.85;3;1.21;0.52;0.33;0.27;0.25;0.16;0.12;7.159
1944;0.14;0.14;0.23;0.57;1.28;0.65;0.47;0.32;0.25;0.21;0.17;0.1;4.522
1945;0.07;0.06;0.06;0.46;1.7;1.58;0.82;0.55;0.43;0.39;0.29;0.26;6.623
1946;0.25;0.2;0.21;2;9.16;4.28;1.18;0.81;0.63;0.54;0.62;0.35;20.12
1947;0.39;0.3;0.43;5.05;6.29;1.7;1.06;0.72;0.5;0.43;0.4;0.28;17.502
1948;0.45;0.43;0.34;1.81;9.27;5.31;1.18;0.6;0.38;0.33;0.32;0.21;20.586
1949;0.21;0.19;0.19;0.85;3.62;2.7;0.9;0.51;0.34;0.29;0.23;0.13;10.123
1950;0.15;0.12;0.12;0.94;2.11;0.93;0.6;0.41;0.31;0.29;0.24;0.13;6.307
1951;0.16;0.13;0.18;1.7;1.08;0.45;0.28;0.18;0.12;0.12;0.09;0.08;4.573
1952;0.08;0.07;0.07;0.42;3.78;2.27;0.74;0.42;0.29;0.25;0.16;0.13;8.665
1953;0.13;0.1;0.11;0.65;2.89;1.35;0.64;0.36;0.24;0.22;0.15;0.13;6.938
1954;0.11;0.09;0.09;0.45;2.18;1;0.5;0.29;0.2;0.18;0.16;0.09;5.298
1955;0.09;0.07;0.11;0.65;0.96;0.45;0.24;0.16;0.13;0.11;0.09;0.06;3.125
1956;0.06;0.04;0.05;0.58;2.42;1.21;0.58;0.35;0.24;0.23;0.16;0.19;6.072
1957;0.19;0.17;0.18;1.38;9.4;3.91;1.03;0.57;0.39;0.33;0.24;0.2;17.849
1958;0.23;0.17;0.35;0.83;3.64;2.51;0.9;0.51;0.35;0.33;0.3;0.18;10.281
1959;0.17;0.13;0.16;1.19;3.51;1.29;0.64;0.43;0.33;0.34;0.41;0.32;8.862
1960;0.27;0.24;0.26;1.04;3.13;1.35;0.8;0.63;0.45;0.42;0.37;0.33;9.265
1961;0.32;0.26;0.35;1.74;1.22;0.64;0.42;0.32;0.27;0.27;0.23;0.2;6.244
1962;0.2;0.16;0.36;1.89;1.81;0.87;0.58;0.42;0.33;0.33;0.31;0.2;7.442
