Year;1;2;3;4;5;6;7;8;9;10;11;12;Total
1956;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0;0.04;-0
1957;0.04;0.06;0.11;0.16;0.18;0.18;0.09;0.06;0.04;0.09;0.16;0.11;1.282
1958;0.08;0.05;0.09;0.11;0.09;0.06;0.04;0.04;0.12;0.1;0.01;0.17;0.955
1959;0.1;0.11;-0;0.28;0.21;0.12;0.07;0.11;0.12;0.09;0.09;0.1;-0
1960;0.07;0.05;0.08;0.16;0.13;0.06;0.07;0.05;0.09;0.06;0.05;0.03;0.907
1961;0.04;0.04;0.09;0.13;0.12;0.05;0.03;0.03;0.08;0.09;0.1;0.03;0.819
1962;0.05;0.04;0.07;0.15;0.19;0.1;0.04;0.07;0.09;0.05;0.16;0.06;1.078
1963;0.06;0.05;0.16;0.43;0.31;0.15;0.07;0.05;0.05;0.08;0.05;0.09;1.568
1964;0.07;0.14;0.26;0.5;0.35;0.1;0.06;0.07;0.14;0.05;0.05;0.08;1.887
1965;0.06;0.08;0.21;0.23;0.29;0.1;0.09;0.06;0.04;0.09;0.07;0.04;1.354
1966;0.04;0.06;0.16;0.4;0.42;0.08;0.04;0.04;0.1;0.3;0.06;0.04;1.743
1967;0.05;0.05;0.12;0.35;0.32;0.1;0.04;0.03;0.08;0.1;0.05;0.05;1.331
1968;0.05;0.08;0.24;0.44;0.35;0.28;0.13;0.06;0.04;0.11;0.16;0.11;2.045
1969;0.09;0.08;0.37;0.41;0.33;0.16;0.12;0.06;0.07;0.08;0.08;0.05;1.919
1970;0.07;0.06;0.14;0.16;0.12;0.08;0.04;0.07;0.09;0.06;0.06;0.1;1.034
1971;0.08;0.09;0.22;0.33;0.31;0.15;0.07;0.05;0.03;0.03;0.05;0.05;1.466
1972;0.05;0.07;0.17;0.34;0.29;0.16;0.13;0.06;0.05;0.04;0.06;0.07;1.498
1973;0.09;0.1;0.12;0.12;0.12;0.08;0.06;0.05;0.14;0.04;0.1;0.16;1.193
1974;0.05;0.06;0.42;0.32;0.21;0.1;0.14;0.12;0.11;0.04;0.04;0.04;1.637
1975;0.04;0.05;0.14;0.16;0.24;0.1;0.03;0.04;0.1;0.12;0.08;0.13;1.226
1976;0.08;0.06;0.13;0.31;0.24;0.05;0.03;0.01;0.02;0.04;0.01;0.01;0.994
