Year;1;2;3;4;5;6;7;8;9;10;11;12;Total
1958;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0;0.54;0.76;-0
1959;0.48;0.47;1.79;3.19;1.11;0.27;0.02;0.05;0.3;0.52;0.7;0.71;9.619
1960;0.52;0.44;0.8;1.48;0.53;0.02;0.02;0.03;0.28;0.24;0.54;0.43;5.338
1961;0.41;0.43;0.79;1.57;1.14;0.03;0.01;0.01;0.44;0.53;0.31;0.2;5.866
1962;0.42;0.15;0.1;0.21;0.14;0.17;0.11;0.16;0.23;0.38;0.39;0.31;2.764
1963;0.16;0.32;0.7;0.93;3.59;1.82;0.3;0.41;0.35;0.42;0.9;1.63;11.475
1964;1.14;0.51;1.61;2.71;2.42;0.55;0.54;0.49;0.47;0.21;0.22;0.3;11.161
1965;0.35;1.03;1.29;0.34;0.98;0.46;0.4;0.27;0.51;1.22;0.73;1.12;8.701
1966;0.85;0.25;0.44;0.68;1.03;0.19;0.2;0.47;0.63;0.79;0.55;0.4;6.446
1967;0.5;0.46;0.77;0.94;1.47;0.38;0.11;0.13;0.61;0.59;0.52;0.42;6.898
1968;0.4;1;1.75;2.22;0.74;1.13;0.23;0.22;0.32;0.25;0.67;1.15;10.135
1969;0.84;0.8;4.59;5.16;3.97;0.73;0.25;0.35;0.32;-0;-0;-0;-0
1970;-0;-0;-0;-0;-0;-0;-0;-0;-0;0.7;0.65;0.97;-0
1971;0.86;0.74;0.88;1.15;1.22;0.19;0.06;0.41;0.43;0.59;0.46;0.27;7.276
1972;0.47;0.53;1.91;3.51;3.19;0.93;0.08;0.46;0.84;0.91;1.1;1.16;15.098
1973;1.3;1.25;1.8;0.44;1.14;0.25;0.13;0.61;0.79;0.37;0.58;0.51;9.191
1974;0.64;0.85;3.7;3.35;1.47;0.17;1.42;1.29;1.63;0.55;0.42;0.64;16.108
1975;0.54;0.72;1.19;0.35;1.64;0.28;0.08;0.43;0.55;0.54;0.46;1.07;7.84
1976;0.76;0.65;1.52;2.84;2.17;0.27;0.51;0.51;0.6;0.78;0.94;0.79;12.334
1977;0.98;0.9;0.96;0.49;0.81;0.42;0.26;0.25;0.13;-0;-0;-0;-0
1978;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0
1979;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0
1980;-0;-0;-0;-0;-0;-0;-0;-0;-0;0.59;1.03;1.14;-0
1981;0.28;0.23;1.35;4.71;2.55;0.37;0.41;1.17;1.04;1.2;0.56;0.39;14.251
1982;0.41;0.53;0.77;0.85;1.17;0.26;0.19;0.63;0.25;2.15;1.9;1.26;10.338
1983;1.08;0.4;0.57;1.95;2.78;0.57;0.28;1.29;1.09;0.64;0.95;1.09;12.658
1984;0.69;0.73;1.01;0.3;1.29;0.29;0.13;0.89;0.84;0.4;0.92;1.81;9.262
1985;1.92;1.39;3.09;1.93;0.8;0.2;0.33;0.77;0.87;0.74;0.57;1.11;13.749
1986;0.74;0.43;0.47;0.52;1.26;0.24;0.23;0.49;0.2;0.6;1.28;1.3;7.72
1987;0.79;0.37;0.69;0.93;0.53;0.18;0.24;0.7;0.82;2.9;1.75;1.51;11.36
1988;1.61;1.23;3.95;4.57;3.03;0.38;0.54;2.27;0.79;1.18;1.1;0.95;21.547
1989;1.01;0.69;1.89;0.8;0.15;0.07;0.05;0.21;0.32;0.31;0.39;0.51;6.412
1990;0.69;0.52;0.9;0.8;0.89;0.13;0.43;0.68;0.64;0.8;0.54;0.64;7.641
1991;0.7;0.55;1.91;1.31;0.18;0.08;0.09;0.09;0.17;0.47;0.49;0.79;6.814
1992;0.66;0.44;0.8;3.8;4.18;1.46;0.72;1.04;0.89;0.57;0.53;1.32;16.385
1993;0.8;0.72;0.87;1.05;2.22;0.67;0.64;0.54;1.33;1.53;2.34;2.79;15.457
1994;3.02;0.77;3.06;3.27;2.18;0.8;0.24;0.53;0.62;0.75;3.61;2.65;21.462
1995;1.02;0.95;0.76;1.48;2.19;0.76;0.36;0.7;0.66;0.96;0.8;0.8;11.462
1996;1.05;1.03;1.14;4.03;2.23;0.35;0.19;0.25;0.42;0.89;0.97;0.66;13.262
1997;0.69;0.39;0.79;0.19;0.12;0.16;0.23;0.32;1.35;0.38;1.01;0.83;6.475
