1915,183,185,187,195,199,221,228,228,223,215,208,202,206
1916,200,198,198,201,209,225,232,238,224,216,209,215,214
1917,215,209,208,214,225,241,248,237,227,214,205,200,220
1918,197,194,195,199,199,209,219,218,211,202,197,191,203
1919,184,-,-,-,-,-,-,-,-,-,-,-,-
1920,-,-,-,-,-,-,-,-,-,-,-,-,-
1921,168,168,169,178,188,194,197,183,169,161,161,155,174
1922,151,152,150,156,165,179,192,186,170,156,155,156,164
1923,150,149,145,147,154,165,184,180,170,159,151,146,158
1924,149,150,151,154,162,176,175,179,162,153,145,143,158
1925,144,137,139,143,151,161,169,168,151,139,131,131,147
1926,133,132,134,135,143,164,178,185,174,164,159,163,155
1927,156,158,158,161,171,194,204,203,185,177,172,175,176
1928,171,171,172,175,182,199,212,207,208,200,200,197,191
1929,195,195,192,195,206,212,238,233,219,209,202,195,208
1930,191,190,191,196,204,209,217,211,194,183,181,181,196
1931,177,174,172,177,184,195,211,193,185,174,175,171,182
1932,171,171,172,178,189,208,216,215,206,191,183,179,190
1933,180,179,178,185,195,204,209,205,198,182,172,173,188
1934,165,165,163,168,173,179,193,186,167,155,150,149,168
1935,140,140,141,146,150,157,162,163,147,139,134,125,145
1936,121,120,116,117,124,135,146,136,125,114,106,109,122
1937,100,97,95,99,106,113,120,116,101,84,75,70,98
1938,66,66,63,66,76,87,89,82,65,53,46,45,67
1939,38,37,34,35,42,53,58,60,36,23,24,19,38
1940,18,11,13,15,22,37,42,37,22,15,10,9,21
1941,3,2,3,5,7,22,41,31,23,16,14,9,15
1942,6,0,0,5,16,29,52,47,30,20,20,16,20
1943,11,10,15,14,23,35,50,42,27,19,15,9,23
1944,7,8,8,9,17,27,41,42,30,12,9,-2,17
1945,-4,-7,-5,-6,-3,8,18,17,7,0,-5,-6,1
1946,-11,-11,-5,-6,5,22,27,29,14,7,3,0,6
1947,-3,-5,-1,4,13,33,43,43,35,21,21,16,18
1948,13,9,12,11,23,37,43,38,27,19,14,9,21
1949,4,6,5,12,18,31,43,32,23,2,-3,-3,14
1950,-6,-8,-7,-3,2,7,8,4,-5,-11,-18,-23,-5
1951,-27,-31,-29,-22,-18,-4,-3,-9,-26,-25,-29,-29,-21
1952,-33,-34,-31,-25,-16,-10,1,-6,-15,-25,-33,-41,-22
1953,-42,-45,-48,-37,-35,-15,-9,-12,-34,-44,-43,-40,-34
1954,-41,-41,-45,-33,-24,-13,-15,-25,-37,-47,-49,-51,-35
1955,-56,-58,-56,-50,-46,-30,-18,-16,-29,-40,-45,-48,-41
1956,-55,-52,-54,-49,-45,-32,-24,-31,-45,-51,-52,-54,-45
1957,-57,-57,-55,-45,-37,-27,-23,-24,-31,-41,-44,-45,-41
1958,-45,-44,-43,-35,-25,-16,-5,-5,-20,-27,-40,-37,-29
1959,-39,-33,-34,-25,-15,-8,-5,-14,-23,-32,-33,-41,-25
