1948,-,-,-,-,-,-,-,-,-,37,25,23,-
1949,8,15,12,15,15,29,40,35,28,6,-5,1,17
1950,3,-9,-3,-8,4,11,10,8,-4,4,-7,-20,-1
1951,-16,-25,-29,-23,-15,0,1,-10,-13,-16,-24,-23,-16
1952,-28,-26,-22,-21,-16,-9,1,-7,-13,-20,-28,-35,-19
1953,-35,-38,-31,-35,-27,-13,-4,-10,-27,-33,-36,-35,-27
1954,-30,-34,-40,-29,-21,-13,-13,-25,-34,-45,-45,-49,-32
1955,-54,-52,-52,-49,-45,-28,-17,-15,-27,-42,-36,-45,-39
1956,-51,-51,-58,-55,-47,-31,-27,-37,-43,-57,-56,-59,-48
1957,-58,-60,-51,-51,-41,-26,-22,-28,-33,-31,-36,-37,-40
1958,-37,-38,-36,-31,-23,-10,1,-6,-15,-24,-29,-34,-24
1959,-36,-22,-31,-26,-18,-8,-10,-14,-17,-27,-29,-40,-23
1960,-39,-34,-29,-28,-25,-17,-14,-15,-26,-35,-43,-47,-29
1961,-48,-54,-52,-48,-42,-34,-27,-35,-42,-52,-53,-57,-45
1962,-58,-61,-58,-54,-53,-44,-42,-50,-62,-66,-72,-68,-57
1963,-71,-74,-63,-63,-48,-37,-33,-36,-42,-45,-47,-47,-51
1964,-44,-53,-48,-49,-36,-29,-26,-29,-40,-48,-51,-61,-43
1965,-61,-53,-54,-50,-48,-38,-34,-38,-45,-53,-59,-57,-49
1966,-48,-49,-55,-46,-34,-18,-20,-22,-35,-40,-44,-44,-38
1967,-50,-44,-46,-45,-42,-32,-32,-34,-42,-55,-51,-59,-44
1968,-60,-66,-59,-60,-56,-47,-40,-39,-57,-61,-65,-65,-56
1969,-69,-70,-66,-60,-58,-52,-44,-47,-51,-55,-59,-56,-57
1970,-57,-60,-54,-56,-43,-35,-30,-26,-36,-48,-51,-51,-46
1971,-57,-57,-54,-54,-44,-34,-36,-38,-49,-55,-63,-59,-50
1972,-63,-67,-67,-67,-55,-46,-45,-62,-58,-66,-75,-73,-62
1973,-79,-90,-83,-78,-73,-59,-60,-60,-69,-78,-79,-83,-74
1974,-83,-94,-91,-87,-80,-66,-57,-59,-62,-79,-69,-73,-75
1975,-72,-74,-72,-77,-67,-61,-52,-69,-82,-87,-93,-102,-76
1976,-104,-96,-103,-101,-100,-91,-89,-89,-99,-108,-120,-117,-101
1977,-107,-119,-114,-113,-103,-98,-91,-106,-114,-117,-128,-123,-111
1978,-124,-128,-126,-114,-109,-102,-93,-90,-97,-109,-109,-106,-109
1979,-111,-100,-99,-87,-54,-45,-30,-38,-47,-43,-54,-47,-63
1980,-47,-55,-47,-44,-38,-31,-28,-33,-40,-40,-43,-43,-41
1981,-38,-37,-33,-28,-19,-4,2,0,-5,-20,-15,-28,-19
1982,-,-,-,-,-,-1,0,-7,-13,-17,-18,-19,-
1983,-4,-4,-4,-3,8,14,16,14,4,-3,-1,-8,2
1984,-17,-15,-15,3,10,15,19,18,1,-1,3,-7,1
1985,0,10,8,14,24,37,41,30,28,21,17,17,21
1986,20,23,20,21,32,42,42,37,32,24,29,25,29
1987,25,25,34,37,41,51,52,54,39,36,35,41,39
1988,20,20,23,29,36,50,54,45,39,36,39,34,35
1989,43,38,44,45,48,61,64,58,49,41,34,30,46
1990,29,36,37,40,51,64,71,68,60,55,56,64,53
1991,64,66,70,80,91,107,114,113,100,86,91,93,90
1992,88,87,92,101,105,127,132,121,113,107,106,110,107
1993,102,107,106,115,118,127,133,131,127,115,129,118,119
1994,122,128,128,129,139,152,151,158,136,134,144,144,139
1995,140,139,142,147,155,168,168,160,152,140,137,132,148
1996,130,128,132,134,134,141,142,138,130,119,124,126,132
1997,126,127,-,-,-,-,-,-,120,109,108,100,-
1998,111,113,118,113,107,111,133,129,112,102,103,100,113
1999,100,94,104,107,108,119,120,122,115,104,109,96,108
2000,99,100,102,100,108,109,114,113,104,95,96,-,104
2001,93,93,91,93,99,103,113,105,93,93,90,91,96
2002,92,91,92,92,97,114,114,112,103,96,95,96,100
2003,99,102,103,106,111,112,117,120,114,105,106,103,108
2004,102,103,102,102,104,107,107,120,114,107,107,110,107
2005,104,101,99,110,113,119,126,125,119,95,81,81,106
2006,-,-,-,-,-,-,-,-,-,-,-,-,-
2007,-,-,-,-,-,-,-,-,-,-,-,-,-
2008,-,-,-,-,-,-,-,-,-,-,-,-,-
2009,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,-,-,82,86,92,98,101,90,77,78,77,69,85
2012,74,79,77,84,83,91,96,70,74,67,64,64,77
