Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Mean
1972,0,0,0,0,0,25.0,26.7,25.1,19.9,13.3,6.9,2.4,0
1973,0.4,0.4,4.4,13.9,20.3,24.3,25.7,24.1,16.9,11.9,5.6,1.1,12.4
1974,0.3,0,3.1,12.0,20.0,24.7,25.1,24.5,20.1,15.9,8.3,2.2,14.2
1975,1.1,0.8,4.9,14.3,21.3,25.9,26.5,24.2,21.1,11.7,3.4,1.6,13.1
1976,0.9,0.3,1.3,14.6,20.0,23.5,24.3,26.0,18.8,7.2,4.9,1.8,12.0
1977,0.4,1.2,6.5,15.0,21.1,25.0,25.7,24.4,18.7,9.0,7.0,1.3,12.9
1978,0.5,0.4,4.7,12.9,17.8,21.8,25.5,22.3,19.8,11.8,4.1,0.9,11.9
1979,0.2,0.9,6.3,12.7,19.9,22.7,24.4,23.9,21.0,12.1,5.8,3.1,12.8
1980,0.2,0.2,0.9,12.2,19.7,24.1,26.4,24.0,18.7,11.6,6.8,5.1,12.5
1981,1.7,1.2,4.3,11.9,17.7,25.6,27.4,26.2,21.7,14.9,7.2,3.9,13.6
1982,1.0,0.3,2.2,12.7,19.9,22.9,26.5,23.7,19.8,11.1,4.7,1.9,12.2
1983,1.1,3.5,4.7,15.7,20.8,23.3,26.9,24.5,19.4,13.4,5.4,1.6,13.4
1984,1.7,0.2,2.3,11.6,20.9,23.2,26.4,23.2,20.2,13.8,5.7,0.3,12.5
1985,0.3,0.2,0.3,10.7,21.3,23.2,24.6,26.2,20.6,11.2,5.6,1.0,12.1
1986,1.5,0.1,2.7,13.3,19.3,24.9,25.8,25.7,22.1,12.2,4.1,0.7,12.7
1987,0.2,0.1,0.9,8.8,19.3,24.8,25.5,24.4,18.4,11.2,4.4,0.9,11.6
1988,0.7,0.6,2.8,13.3,17.7,25.5,26.9,25.7,19.8,13.2,4.7,1.5,12.7
1989,0.2,0,7.4,13.2,18.7,24.5,27.6,26.2,20.3,14.1,5.4,1.5,14.5
1990,0.3,1.1,7.3,14.2,18.2,23.6,27.0,24.9,21.0,13.0,7.9,2.5,13.4
1991,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,22.8,25.0,25.3,20.9,15.9,5.8,0.7,0
1995,0.9,2.2,4.7,13.1,0,25.4,26.2,25.2,21.3,12.6,0,0,0
1996,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,0.7,0.5,2.9,12.5,19.3,28.2,27.6,27.0,20.8,14.4,6.6,1.2,13.5
1999,1.5,2.5,5.9,13.1,18.0,25.8,27.6,28.5,21.1,15.9,4.4,1.9,13.9
2000,1.4,3.3,6.5,15.1,17.5,23.1,26.8,26.7,21.3,12.2,6.3,2.0,13.5
2001,2.4,1.3,7.1,13.7,20.3,23.4,27.5,26.3,20.4,12.9,7.8,0.6,13.6
2002,1.2,3.1,7.8,12.5,18.8,23.2,27.8,26.1,22.4,15.0,8.8,0.6,13.9
2003,0.8,1.0,2.5,9.6,20.1,22.3,25.7,26.7,20.5,15.9,6.9,2.2,12.9
2004,1.0,2.1,7.3,12.5,20.2,24.1,25.8,26.7,22.1,14.8,8.9,1.6,13.9
2005,2.2,1.0,4.1,12.6,21.1,25.1,27.8,27.3,22.8,14.7,7.8,4.8,14.3
2006,0.5,0.3,3.8,14.1,19.3,26.8,26.3,27.6,21.5,15.3,7.7,2.2,13.8
2007,2.5,1.7,5.6,12.5,20.2,25.9,27.1,27.6,-,15.7,5.7,1.4,13.3
2008,0.5,0.3,7.5,14.4,19.0,23.1,27.4,26.2,20.1,14.5,8.9,3.3,13.8
2009,0.6,1.4,5.5,11.9,19.0,25.5,27.2,24.4,21.0,16.2,7.1,2.5,13.5
2010,0.9,0,4.4,13.5,22.0,26.4,28.6,28.4,22.3,13.3,10.0,5.8,16.0
2011,2.0,0.7,4.2,10.7,20.9,26.1,28.6,26.4,21.1,14.0,0.9,1.3,13.1
2012,1.3,0.2,1.9,16.8,21.1,26.3,27.0,26.8,21.8,17.1,9.1,2.8,14.4
2013,1.5,2.4,6.7,12.6,23.0,25.5,26.9,23.8,20.9,13.5,8.9,1.9,14.0
2014,1.5,1.8,5.6,12.0,22.1,24.9,27.1,27.7,21.0,13.0,4.4,1.5,13.6
2015,1.2,2.4,6.2,11.7,20.5,27.5,27.5,26.6,22.7,13.2,7.1,4.1,14.2
2016,1.1,3.2,6.9,14.4,21.4,26.7,27.9,28.3,20.7,12.6,5.4,1.1,14.1
