date;FPU;NPU;UMO;level;free_volume;income;discharge;slipway_discharge ; lat ; lon
2013-04-15; 31.4   ; 28   ; 27   ; 27.88   ; 220   ; 12584   ; 10800   ; 0 ; 52.0448 ; 47.7552    
2013-04-16; 31.4   ; 28   ; 27   ; 27.82   ; 320   ; 12882   ; 11417   ; 0     ; 52.0448 ; 47.7552    
2013-04-17; 31.4   ; 28   ; 27   ; 27.79   ; -1420   ; 13713   ; 13391   ; 0     ; 52.0448 ; 47.7552    
2013-04-18; 31.4   ; 28   ; 27   ; 27.85   ; 270   ; 16617   ; 13715   ; 0     ; 52.0448 ; 47.7552    
2013-04-19; 31.4   ; 28   ; 27   ; 28   ; 0   ; 17765   ; 13537   ; 0     ; 52.0448 ; 47.7552    
2013-04-20; 31.4   ; 28   ; 27   ; 28   ; 0   ; 19435   ; 14218   ; 862     ; 52.0448 ; 47.7552    
2013-04-21; 31.4   ; 28   ; 27   ; 27.96   ; 0   ; 20423   ; 18187   ; 4156     ; 52.0448 ; 47.7552    
2013-04-22; 31.4   ; 28   ; 27   ; 28   ; 20   ; 23209   ; 19517   ; 5180     ; 52.0448 ; 47.7552    
2013-04-23; 31.4   ; 28   ; 27   ; 27.98   ; 40   ; 26792   ; 21438   ; 7446     ; 52.0448 ; 47.7552    
2013-04-24; 31.4   ; 28   ; 27   ; 27.91   ; 72.1   ; 27665   ; 22614   ; 10021     ; 52.0448 ; 47.7552    
2013-04-25; 31.4   ; 28   ; 27   ; 27.83   ; 310   ; 27267   ; 24282   ; 12527     ; 52.0448 ; 47.7552    
2013-04-26; 31.4   ; 28   ; 27   ; 27.69   ; 560   ; 27947   ; 26492   ; 13844     ; 52.0448 ; 47.7552    
2013-04-27; 31.4   ; 28   ; 27   ; 27.62   ; 560   ; 28535   ; 27001   ; 14191     ; 52.0448 ; 47.7552    
2013-04-28; 31.4   ; 28   ; 27   ; 27.64   ; 340   ; 28510   ; 25966   ; 13394     ; 52.0448 ; 47.7552    
2013-04-29; 31.4   ; 28   ; 27   ; 27.76   ; 430   ; 28514   ; 25696   ; 14092     ; 52.0448 ; 47.7552    
2013-04-30; 31.4   ; 28   ; 27   ; 27.9   ; 180   ; 28352   ; 26613   ; 15259     ; 52.0448 ; 47.7552    
2013-05-01; 31.4   ; 28   ; 27   ; 27.66   ; 199   ; 28088   ; 27871   ; 14715     ; 52.0448 ; 47.7552    
2013-05-02; 31.4   ; 28   ; 27   ; 27.8   ; 269   ; 26624   ; 27430   ; 14061     ; 52.0448 ; 47.7552    
2013-05-03; 31.4   ; 28   ; 27   ; 27.8   ; 284   ; 26820   ; 26990   ; 14030     ; 52.0448 ; 47.7552    
2013-05-04; 31.4   ; 28   ; 27   ; 27.8   ; 284   ; 26800   ; 26942   ; 14298     ; 52.0448 ; 47.7552    
2013-05-05; 31.4   ; 28   ; 27   ; 27.8   ; 213   ; 26659   ; 25834   ; 13796     ; 52.0448 ; 47.7552    
2013-05-06; 31.4   ; 28   ; 27   ; 27.75   ; 1450   ; 26177   ; 27414   ; 14478     ; 52.0448 ; 47.7552    
2013-05-07; 31.4   ; 28   ; 27   ; 27.74   ; 470   ; 22474   ; 25905   ; 12240     ; 52.0448 ; 47.7552    
2013-05-08; 31.4   ; 28   ; 27   ; 27.7   ; 520   ; 22638   ; 26324   ; 13293     ; 52.0448 ; 47.7552    
2013-05-09; 31.4   ; 28   ; 27   ; 27.81   ; 494   ; 22806   ; 22494   ; 10298     ; 52.0448 ; 47.7552    
2013-05-10; 31.4   ; 28   ; 27   ; 27.81   ; 340   ; 22274   ; 23083   ; 11460     ; 52.0448 ; 47.7552    
2013-05-11; 31.4   ; 28   ; 27   ; 27.71   ; 519   ; 22232   ; 24298   ; 11672     ; 52.0448 ; 47.7552    
