,type,name,folow_to,length_km,area_km²,edge
0,Озеро,Красновское,река  Большой  Иргиз,"0,5",0,Большой  Иргиз
1,Река,Атмис,река  АТМИСС,15,101,АТМИСС
15,Река,"без  названия,  у  с.  Порзамка",река  Клязьма,20,444,Клязьма
20,Река,"без  названия,  у  с.  Бычковский",река  Березуйка,16,"90,2",Березуйка
21,Река,Беспута,река  Беспута,20,95,Беспута
22,Река,Беспута,река  Беспута,14,"58,3",Беспута
23,Река,Беспута,река  Беспута,18,105,Беспута
26,Река,Большая  Липня,река  Клязьма,55,272,Клязьма
28,Река,Аксел,река  Большой  Аксел,14,0,Большой  Аксел
31,Река,Бобровка,река  БРЫНЬ,16,"67,5",БРЫНЬ
32,Река,Брынец,река  БРЫНЬ,10,0,БРЫНЬ
33,Река,"без  названия,  у  с.  Дмитриево-Поливаново",река  БУРТАСС,12,0,БУРТАСС
34,Река,Бутовка,река  Баскаковка,10,0,Баскаковка
35,Река,"без  названия,  у  с.  Тенево",река  ВАД,15,"37,6",ВАД
36,Река,"без  названия,  у  с.  Тенево",река  ВАД,11,0,ВАД
37,Река,Вадакш,река  ВАД,14,0,ВАД
38,Река,Варежка,река  АТМИСС,40,278,АТМИСС
39,Река,"без  названия,  у  с.  Кобылкино",река  Варежка,13,0,Варежка
40,Река,Вачка,река  ВАД,16,87,ВАД
43,Река,Белколодезь  (Белоколодезь),водохранилище  вдхр  Шатское  (Иван-Озеро),"6,7","65,8",вдхр  Шатское  (Иван-Озеро)
44,Озеро,Белое,озеро  Великое,"0,32",0,Великое
45,Озеро,Белое,озеро  Великое,"2,98",0,Великое
49,Река,"без  названия,  у  с.  Гати",река  ВЕНЕВКА,13,0,ВЕНЕВКА
50,Река,Бока,река  ВЕРДА,25,167,ВЕРДА
51,Река,БРУСНА,река  ВЕРДА,24,198,ВЕРДА
52,Река,"без  названия,  у  ст.  Кремлево",река  ВЕРДА,13,0,ВЕРДА
53,Река,Вердица,река  ВЕРДА,39,181,ВЕРДА
55,Река,Вирушка,река  АТМИСС,16,"96,8",АТМИСС
56,Река,Витуша,река  ВЕРДА,10,0,ВЕРДА
57,Озеро,Виша,река  Виша,"1,76",139,Виша
59,Река,"без  названия,  у  с.  Городищи",река  ВОБЛЯ,10,0,ВОБЛЯ
60,Река,"без  названия,  у  с.  Комлишки",река  Возополь  (Возоболь),10,0,Возополь  (Возоболь)
61,Озеро,Воймега,река  ВОЙМЕГА,"1,040",0,ВОЙМЕГА
62,Река,Волосовка,река  АМШАНКА,16,"38,5",АМШАНКА
64,Река,Волхона,река  Волхона,16,110,Волхона
65,Озеро,Бездон  (Калугово),река  ВОРОНЯ  (Б.ВОРОНА),"0,32",0,ВОРОНЯ  (Б.ВОРОНА)
66,Река,ВЕЖБОЛОВКА,река  ВОРША,22,"57,1",ВОРША
67,Река,Борька  (Большая  Воря),река  Воря,21,88,Воря
69,Река,"без  названия,  у  с.  Ильинское",река  ВЫПРЕЙКА,14,0,ВЫПРЕЙКА
72,Река,"без  названия,  у  с.  Малая  Кашаевка",река  Выша  (Нокса),10,0,Выша  (Нокса)
73,Река,"без  названия,  у  с.  Русско-Никольское",река  Выша  (Нокса),10,0,Выша  (Нокса)
77,Река,Вьюница,река  ГНИЛИЧКА,10,"74,8",ГНИЛИЧКА
78,Река,Городечня,река  ВОРОНЯ  (Б.ВОРОНА),12,0,ВОРОНЯ  (Б.ВОРОНА)
80,Река,ГРЯЗНУХА,река  БУРТАСС,22,73,БУРТАСС
82,Река,Вековка,река  ГУСЬ,11,0,ГУСЬ
83,Река,"без  названия,  у  с.  Красный  Якорь",река  ГУСЬ,10,0,ГУСЬ
84,Озеро,Гусь,река  ГУСЬ,"0,3",148,ГУСЬ
85,Река,ДАНДУР,река  ГУСЬ,23,144,ГУСЬ
86,Река,Грохот,в  32    от  устья,24,113,в  32    от  устья
87,Река,"без  названия,  у  с.  Прилуки",река  Демина,15,"32,7",Демина
88,Река,Даренка,река  Демина,16,62,Демина
89,Река,Деминка,река  Дебря,12,0,Дебря
90,Река,ДЕСНА,река  ГУСЛИЦА,17,"80,8",ГУСЛИЦА
91,Река,Дмитриевка  (Дмитровка),река  Вьюница,"6,6",0,Вьюница
92,Река,Вьюница,река  ВОЙМЕГА,18,0,ВОЙМЕГА
93,Река,Добрея,река  Воря,15,"77,3",Воря
94,Озеро,Долгое,озеро  Великое,"2,080",0,Великое
95,Озеро,Долгое,река  АЛЬБА,"0,56","21,1",АЛЬБА
96,Река,Донинка,река  ГЖЕЛКА,20,107,ГЖЕЛКА
97,Река,ДОРКА,река  ГЖЕЛКА,27,144,ГЖЕЛКА
98,Река,Дубенка,река  ВЫТЕБЕТЬ,16,"48,1",ВЫТЕБЕТЬ
