date,level
2016-04-18,292.0
2016-04-19,306.0
2016-04-21,326.0
2016-04-22,350.0
2016-04-22,371.0
2016-04-23,404.0
2016-04-24,428.0
2016-04-25,452.0
2016-04-26,473.0
2016-04-27,486.0
2016-04-28,502.0
2016-04-29,516.0
2016-04-30,527.0
2016-05-01,530.0
2016-05-02,536.0
2016-05-03,538.0
2016-05-04,542.0
2016-05-05,547.0
2016-05-06,554.0
2016-05-07,559.0
2016-05-08,565.0
2016-05-09,569.0
2016-05-10,573.0
2016-05-11,579.0
2016-05-12,583.0
2016-05-13,586.0
2016-05-14,592.0
2016-05-15,596.0
2016-05-16,600.0
2016-05-17,603.0
2016-05-18,606.0
2016-05-19,609.0
2016-05-20,609.0
2016-05-20,611.0
2016-05-21,612.0
2016-05-22,613.0
2016-05-23,613.0
2016-05-24,613.0
2016-05-25,613.0
2016-05-26,613.0
2016-05-27,613.0
2016-05-28,611.0
2016-05-29,609.0
2016-05-30,605.0
2016-05-31,600.0
2016-06-01,597.0
2016-06-02,594.0
2016-06-03,590.0
2016-06-04,587.0
2016-06-05,584.0
2016-06-06,579.0
2016-06-07,574.0
2016-06-08,564.0
2016-06-09,555.0
2016-06-10,544.0
2016-06-12,518.0
2016-06-13,499.0
2016-06-14,488.0
2016-06-15,466.0
2016-06-16,447.0
2016-06-17,426.0
2016-06-18,406.0
2016-06-19,391.0
2016-06-20,376.0
2016-06-21,363.0
2016-06-22,353.0
2016-06-23,344.0
2016-06-24,338.0
2016-06-25,333.0
2016-06-26,329.0
2016-06-27,328.0
2016-06-28,321.0
2016-06-29,317.0
2016-06-30,314.0
2016-07-01,311.0
2016-07-02,308.0
2016-07-03,304.0
2016-07-04,301.0
2016-07-05,300.0
2016-07-06,299.0
2016-07-07,297.0
2016-07-08,296.0
2016-07-09,296.0
2016-07-10,296.0
2016-07-11,296.0
2016-07-12,296.0
2016-07-13,292.0
2016-07-14,288.0
2016-07-15,285.0
2016-07-16,284.0
2016-07-17,277.0
2016-07-18,269.0
2016-07-19,263.0
2016-07-20,258.0
2016-07-21,255.0
2016-07-22,253.0
2016-07-23,252.0
2016-07-24,252.0
2016-07-25,252.0
2016-07-26,252.0
2016-07-27,252.0
2016-07-28,252.0
2016-07-29,252.0
2016-07-30,252.0
2016-07-31,252.0
2016-08-01,252.0
2016-08-02,252.0
2016-08-03,253.0
2016-08-04,252.0
2016-08-05,252.0
2016-08-06,252.0
2016-08-07,252.0
2016-08-08,252.0
2016-08-09,252.0
2016-08-10,251.0
2016-08-11,251.0
2016-08-12,251.0
2016-08-13,249.0
2016-08-14,249.0
2016-08-16,248.0
2016-08-17,248.0
2016-08-18,248.0
2016-08-19,248.0
2016-08-20,248.0
2016-08-21,248.0
2016-08-23,246.0
2016-08-24,246.0
2016-08-25,247.0
2016-08-26,249.0
2016-08-27,250.0
2016-08-28,250.0
2016-08-29,252.0
2016-08-30,253.0
2016-08-31,254.0
2016-09-01,250.0
2016-09-02,248.0
2016-09-03,248.0
2016-09-04,248.0
2016-09-05,248.0
2016-09-06,248.0
2016-09-07,247.0
2016-09-08,247.0
2016-09-09,248.0
2016-09-10,248.0
2016-09-11,248.0
2016-09-12,247.0
2016-09-13,247.0
2016-09-14,247.0
2016-09-15,247.0
2016-09-16,247.0
2016-09-16,248.0
2016-09-17,248.0
2016-09-19,246.0
2016-09-20,248.0
2016-09-21,246.0
2016-09-22,246.0
2016-09-23,246.0
2016-09-24,246.0
2016-09-25,248.0
2016-09-26,246.0
2016-09-27,246.0
2016-09-28,247.0
2016-09-29,247.0
2016-09-30,247.0
2016-10-01,247.0
2016-10-02,246.0
2016-10-03,246.0
2016-10-04,246.0
2016-10-05,246.0
2016-10-06,247.0
2016-10-07,247.0
2016-10-08,247.0
2016-10-09,246.0
2016-10-10,246.0
2016-10-11,246.0
2016-10-12,247.0
2016-10-13,247.0
2016-10-14,248.0
2016-10-15,248.0
2016-10-16,248.0
2016-10-17,247.0
2016-10-18,247.0
2016-10-19,248.0
2016-10-20,248.0
2016-10-21,246.0
2016-10-22,246.0
2016-10-23,246.0
2016-10-24,246.0
2016-10-25,246.0
2016-10-26,247.0
2016-10-27,247.0
2016-10-28,247.0
2016-10-29,247.0
2016-10-30,247.0
2016-10-31,247.0
2016-11-01,247.0
2016-11-02,248.0
2016-11-03,247.0
2016-11-04,247.0
2016-11-05,247.0
2016-11-06,247.0
2016-11-07,247.0
2016-11-08,247.0
2016-11-09,248.0
2016-11-10,248.0
2016-11-11,247.0
2016-11-12,247.0
2016-11-13,247.0
2016-11-14,247.0
2016-11-15,247.0
2016-11-16,248.0
2016-11-17,250.0
2016-11-18,252.0
2016-11-19,252.0
2016-11-20,253.0
2016-11-21,256.0
2016-11-22,259.0
2016-11-23,264.0
2016-11-24,260.0
2016-11-25,266.0
2016-11-26,268.0
2016-11-27,268.0
2016-11-28,272.0
2016-11-29,275.0
2016-11-30,278.0
2016-12-01,274.0
2016-12-02,271.0
2016-12-03,268.0
2016-12-04,268.0
2016-12-05,273.0
2016-12-06,274.0
2016-12-07,266.0
2016-12-08,263.0
2016-12-09,265.0
2016-12-12,285.0
2016-12-13,285.0
2016-12-14,285.0
2016-12-15,285.0
2016-12-16,285.0
2016-12-17,285.0
2016-12-18,285.0
2016-12-19,285.0
2016-12-20,285.0
2016-12-21,285.0
2016-12-22,285.0
2016-12-23,285.0
2016-12-24,285.0
2016-12-25,285.0
2016-12-26,285.0
2016-12-27,285.0
2016-12-28,285.0
2016-12-29,285.0
2016-12-30,285.0
2016-12-31,285.0
2017-01-01,285.0
2017-01-02,285.0
2017-01-03,285.0
2017-01-04,285.0
2017-01-05,285.0
2017-01-06,285.0
2017-01-07,285.0
2017-01-08,285.0
2017-01-09,285.0
2017-01-10,285.0
2017-01-11,285.0
2017-01-12,285.0
2017-01-13,285.0
2017-01-14,285.0
2017-01-15,285.0
2017-01-16,285.0
2017-01-17,285.0
2017-01-18,285.0
2017-01-19,285.0
2017-01-20,285.0
2017-01-21,285.0
2017-01-22,285.0
2017-01-23,285.0
2017-01-24,285.0
2017-01-25,285.0
2017-01-26,285.0
2017-01-27,285.0
2017-01-28,285.0
2017-01-29,285.0
2017-01-30,285.0
2017-01-31,285.0
2017-02-01,285.0
2017-02-02,285.0
2017-02-03,285.0
2017-02-04,285.0
2017-02-05,285.0
2017-02-06,285.0
2017-02-07,285.0
2017-02-08,285.0
2017-02-09,285.0
2017-02-10,285.0
2017-02-11,285.0
2017-02-12,285.0
2017-02-13,285.0
2017-02-14,285.0
2017-02-15,285.0
2017-02-16,285.0
2017-02-17,285.0
2017-02-18,285.0
2017-02-19,285.0
2017-02-20,285.0
2017-02-21,285.0
2017-02-22,285.0
2017-02-23,285.0
2017-02-24,285.0
2017-02-25,285.0
2017-02-26,285.0
2017-02-27,285.0
2017-02-28,285.0
2017-03-01,285.0
2017-03-02,285.0
2017-03-03,285.0
2017-03-04,285.0
2017-03-05,285.0
2017-03-06,285.0
2017-03-07,285.0
2017-03-08,285.0
2017-03-09,285.0
2017-03-10,285.0
2017-03-11,285.0
2017-03-12,285.0
2017-03-13,332.0
2017-03-14,318.0
2017-03-16,290.0
2017-03-17,278.0
2017-03-18,278.0
2017-03-19,278.0
2017-03-20,276.0
2017-03-21,278.0
2017-03-22,280.0
2017-03-23,280.0
2017-03-24,278.0
2017-03-25,278.0
2017-03-26,278.0
2017-03-27,275.0
2017-03-28,275.0
2017-03-29,276.0
2017-03-30,272.0
2017-03-31,271.0
2017-04-01,271.0
2017-04-02,271.0
2017-04-03,272.0
2017-04-04,274.0
2017-04-05,276.0
2017-04-06,276.0
2017-04-07,274.0
2017-04-08,274.0
2017-04-09,272.0
2017-04-10,271.0
2017-04-11,266.0
2017-04-12,263.0
2017-04-13,256.0
2017-04-14,252.0
2017-04-15,252.0
2017-04-16,253.0
2017-04-17,258.0
2017-04-18,261.0
2017-04-19,268.0
2017-04-20,276.0
2017-04-21,276.0
2017-04-22,282.0
